id,version,id_code,name,group_code,group_label,tier,phase,likely_phase,phase_rationale,key_figures,primary_source,one_line_pitch,description,connects_to_raw,connects_to_ids,master_table_connections,discipline_phase,discipline_name,source_file,source_date
v5-ecological-psychology-and-affordance-theory,v5,15,Ecological Psychology & Affordance Theory,T1,Tier 1: Core Bridges (Start Here),T1,3,,Perception as direct detection of possibilities for action. Gibson's affordances connect cognition to the physical and designed world — the transition point toward the design phases.,Gibson|Eleanor Gibson|Reed|Norman|Chemero,,,"A perception-action framework in which organisms directly detect possibilities for action in their environment. Affordances link design, architecture, robotics, game systems, and embodied cognition through a shared language of usability, movement, and situated intelligence. This topic makes perception practical: not just what is seen, but what can be done.",Cognitive science|phenomenology|HCI|architecture|robotics|game design|embodied intelligence|design theory,v5-cognitive-science-and-perception|v5-phenomenology-and-embodied-experience|v5-human-computer-interaction-and-interface-design||v5-robotics-and-embodied-intelligence|v5-game-design-ludology-and-interactive-systems|v5-robotics-and-embodied-intelligence|,"Cogsci, phenomenology, HCI, architecture, robotics",3,Mind & Perception,research-topics-v5.md,2026-03-29
v5-artificial-life-and-self-organization,v5,36,Artificial Life & Self-Organization,T1,Tier 1: Core Bridges (Start Here),T1,7,,"Where complex systems theory gets *built*: cellular automata, digital evolution, swarm intelligence, autopoiesis. Synthesizes Wolfram, genetic algorithms, and multi-agent dynamics.",Langton|Ray|Kauffman|Holland|Bedau|Varela,,,"The constructive science of lifelike behavior in artificial systems. Where complex systems theory analyzes emergence mathematically, ALife builds it: cellular automata, self-replicating programs, digital evolution (Tierra, Avida), swarm intelligence, and autopoiesis. Directly synthesizes Wolfram's rule-space explorations, genetic algorithms/programming, MiroFish multi-agent dynamics, and evolutionary biology into a single research programme asking what the necessary and sufficient conditions for ""life"" are.",Complex systems|genetic algorithms|evolution|multi-agent simulation|cybernetics|philosophy of mind|robotics|morphogenesis,v5-complex-systems-and-chaos-theory||||v5-cybernetics-and-control-theory|v5-philosophy-of-mind-and-consciousness|v5-robotics-and-embodied-intelligence|v5-morphogenesis-and-biological-pattern-formation,"Complex systems, GA, evolution, cybernetics, robotics",7,"Life, Form & Nature",research-topics-v5.md,2026-03-29
v5-collective-intelligence-and-coordination-systems,v5,38,Collective Intelligence & Coordination Systems,T1,Tier 1: Core Bridges (Start Here),T1,7,,"How groups, networks, and hybrid human-machine systems solve problems together. Ostrom, Malone. Extends network science and game theory into cooperative practice.",Ostrom|Malone|Surowiecki|Page|Woolley,,,"How groups, networks, institutions, and hybrid human-machine systems solve problems together. Covers coordination, division of cognitive labor, governance, emergence of shared knowledge, and failure modes in collective decision-making. Extends network science and game theory toward practical questions of cooperation, organizations, swarms, online systems, and multi-agent intelligence.",Network science|game theory|cybernetics|anthropology|organizational design|AI agents|distributed systems|decision theory,v5-network-science-and-graph-theory|v5-game-theory-and-mechanism-design|v5-cybernetics-and-control-theory|v5-anthropology-cultural-evolution-and-technology-studies||v5-machine-learning-and-statistical-learning-theory||v5-decision-theory-and-rationality,"Networks, game theory, cybernetics, AI agents, decision",7,"Life, Form & Nature",research-topics-v5.md,2026-03-29
v5-semiotics-structuralism-and-the-science-of-signs,v5,17,"Semiotics, Structuralism & The Science of Signs",T1,Tier 1: Core Bridges (Start Here),T1,4,,"The meta-framework for meaning across all media. Builds on linguistics but extends to film, music, architecture, code, and culture.",Saussure|Peirce|Eco|Barthes|Lotman,,,"How meaning is created through signs, codes, and cultural systems. Saussure's structural linguistics (signifier/signified), Peirce's triadic sign theory (icon, index, symbol), Eco's semiotics of culture, Barthes' mythology, and Lotman's semiosphere. A meta-framework for meaning-making across every medium in the vault: film (visual semiotics), music (musical meaning), architecture (spatial semiotics), code (formal symbol systems), and crypto (trust as semiotic infrastructure).


---",Linguistics|rhetoric|typography|filmmaking|music theory|NLP|philosophy of language|anthropology|writing systems/notation,v5-linguistics-and-natural-language-structure|v5-rhetoric-narrative-theory-and-story-systems|v5-typography-and-graphic-design-history|||v5-linguistics-and-natural-language-structure||v5-anthropology-cultural-evolution-and-technology-studies|v5-writing-systems-notation-and-symbolic-representation,"Linguistics, rhetoric, typography, film, music, NLP",4,"Language, Signs & Representation",research-topics-v5.md,2026-03-29
v5-philosophy-of-mathematics,v5,10,Philosophy of Mathematics,T2,"Tier 2: Philosophical, Symbolic & Cultural Foundations",T2,2,,Is math invented or discovered? What is proof? Pairs naturally with category theory and grounds the formal work in philosophical context.,Frege|Russell|Wittgenstein|Lakatos|Brouwer,,,"Investigates whether mathematics is invented or discovered, what proof is, and why formal systems matter. Connects Greek philosophy (Forms, logic), Gödel/Hilbert (computation theory), and category theory. Explores formalism, logicism, intuitionism, and the ontology of mathematical objects.",Category theory|logic|computation theory|epistemology|history of science,v5-category-theory-and-abstract-algebra|v5-logic-formal-semantics-and-model-theory||v5-epistemology-and-philosophy-of-knowledge|,"Category theory, logic, computation, epistemology",2,Structure & Connection,research-topics-v5.md,2026-03-29
v5-phenomenology-and-embodied-experience,v5,12,Phenomenology & Embodied Experience,T2,"Tier 2: Philosophical, Symbolic & Cultural Foundations",T2,3,,"Complements cognitive science from the philosophical side. Lived experience, being-in-the-world, embodied cognition.",Husserl|Heidegger|Merleau-Ponty,,,"The philosophy of direct lived experience. ""Being-in-the-world"" reframes architecture (dwelling), tools (software as equipment), and perception (film, music). Merleau-Ponty's embodied cognition connects to synth design (haptic feedback), HCI, and Alexander's body-centered design.",Cognitive science|Eastern philosophy|architecture|HCI|philosophy of mind|aesthetics,v5-cognitive-science-and-perception|v5-eastern-philosophy||v5-human-computer-interaction-and-interface-design|v5-philosophy-of-mind-and-consciousness|v5-aesthetics-and-philosophy-of-art,"Cogsci, Eastern phil, architecture, HCI, aesthetics",3,Mind & Perception,research-topics-v5.md,2026-03-29
v5-philosophy-of-mind-and-consciousness,v5,13,Philosophy of Mind & Consciousness,T2,"Tier 2: Philosophical, Symbolic & Cultural Foundations",T2,3,,"The hard problem, functionalism, integrated information theory. Best studied after both the scientific (cogsci) and philosophical (phenomenology) groundwork.",Descartes|Dennett|Chalmers|Tononi,,,"Bridges Greek philosophy (soul/mind), computation (Chinese Room, Church-Turing), AI, and the subjective experience of music/film/architecture. From dualism through functionalism to integrated information theory — the ""hard problem"" and its implications for artificial systems.",Cognitive science|AI|phenomenology|Eastern philosophy|robotics|neuroscience,v5-cognitive-science-and-perception|v5-machine-learning-and-statistical-learning-theory|v5-phenomenology-and-embodied-experience|v5-eastern-philosophy|v5-robotics-and-embodied-intelligence|v5-neuroscience-and-neural-computation,"Cogsci, AI, phenomenology, robotics, neuro",3,Mind & Perception,research-topics-v5.md,2026-03-29
v5-eastern-philosophy,v5,21,Eastern Philosophy,T2,"Tier 2: Philosophical, Symbolic & Cultural Foundations",T2,5,,"Buddhist logic, Daoist naturalism, Zen aesthetics. Radically different frameworks that recontextualize everything from consciousness to design. Best absorbed after the Western philosophical base from Phases 1–4.",Nagarjuna|Dignaga|Zhuangzi|Dōgen,,,"Buddhist logic (emptiness, dependent origination), Vedantic metaphysics, Daoist naturalism, and Zen aesthetics (wabi-sabi). Radically different frameworks for consciousness, aesthetics, and nature. Directly relevant to Alexander's later metaphysics of ""wholeness"" and living structure.",Phenomenology|cognitive science|biomimicry|systems thinking|design|aesthetics,v5-phenomenology-and-embodied-experience|v5-cognitive-science-and-perception|v5-biomimicry-and-nature-inspired-design|v5-systems-thinking-and-system-dynamics||v5-aesthetics-and-philosophy-of-art,"Phenomenology, cogsci, biomimicry, systems, aesthetics",5,"Culture, History & Worldview",research-topics-v5.md,2026-03-29
v5-epistemology-and-philosophy-of-knowledge,v5,4,Epistemology & Philosophy of Knowledge,T2,"Tier 2: Philosophical, Symbolic & Cultural Foundations",T2,1,,"Before going deeper into any science, step back and ask *how do we know what we know?* Bayesian updating, justification, the structure of evidence. Makes you a better reader of everything that follows.",Plato|Gettier|Quine|Bayesian epistemology,,,"How do we know what we know? From justified true belief to Bayesian updating. Underlies probability, information retrieval, NLP, science, and AI ""knowledge"" representation. The meta-question for every research topic.",Philosophy of science|decision theory|AI|information theory|logic,v5-history-and-philosophy-of-science|v5-decision-theory-and-rationality|v5-machine-learning-and-statistical-learning-theory|v5-information-theory|v5-logic-formal-semantics-and-model-theory,"Phil of science, decision theory, AI, info theory",1,The Meta-Frameworks,research-topics-v5.md,2026-03-29
v5-history-and-philosophy-of-science,v5,5,History & Philosophy of Science,T2,"Tier 2: Philosophical, Symbolic & Cultural Foundations",T2,1,,"Kuhn, Popper, Lakatos. How knowledge is validated, contested, and replaced. Calibrates expectations for every scientific topic ahead — you'll recognize paradigm shifts as they appear.",Kuhn|Popper|Lakatos|Feyerabend,,,"How knowledge gets validated, contested, and replaced. Paradigm shifts, falsifiability, research programmes, and the sociology of scientific knowledge. Adds critical perspective to evolution, economics, computation, and AI.",Epistemology|anthropology|complexity economics|all scientific domains,v5-epistemology-and-philosophy-of-knowledge|v5-anthropology-cultural-evolution-and-technology-studies|v6-complexity-economics-and-agent-based-modeling-in-economics|,"Epistemology, anthropology, all sciences",1,The Meta-Frameworks,research-topics-v5.md,2026-03-29
v5-anthropology-cultural-evolution-and-technology-studies,v5,22,"Anthropology, Cultural Evolution & Technology Studies",T2,"Tier 2: Philosophical, Symbolic & Cultural Foundations",T2,5,,"How societies, technologies, and ideas co-evolve. Actor-network theory, memetics. The human/social dimension of technical systems.",Mauss|Lévi-Strauss|White|Basalla|Latour|Dawkins (memetics),,,"How human societies, technologies, and ideas evolve. Shell money to bitcoin (cultural continuity), the sociology of knowledge, actor-network theory, and memetics. Provides the human/social dimension missing from technical systems.",Game theory|economics|history of computing|Eastern philosophy|semiotics|systems thinking|game design,v5-game-theory-and-mechanism-design||v5-history-of-computing-and-the-personal-computer-revolution|v5-eastern-philosophy|v5-semiotics-structuralism-and-the-science-of-signs|v5-systems-thinking-and-system-dynamics|v5-game-design-ludology-and-interactive-systems,"Game theory, economics, computing history, semiotics",5,"Culture, History & Worldview",research-topics-v5.md,2026-03-29
v5-aesthetics-and-philosophy-of-art,v5,23,Aesthetics & Philosophy of Art,T2,"Tier 2: Philosophical, Symbolic & Cultural Foundations",T2,5,,"Kant, Dewey, Goodman, Danto. What makes something art? Why do certain forms produce aesthetic response? The philosophical scaffolding for the design and creative phases ahead.",Kant|Hegel|Dewey|Goodman|Danto|Rancière,,,"Formal aesthetic theory beyond Greek origins. Kant's disinterested judgment, Dewey's ""Art as Experience"" (art as process, not object), Goodman's ""Languages of Art"" (notation, representation, expression), Danto's ""artworld"" and institutional theory. Provides the philosophical scaffolding for understanding why generative art, film, architecture, and music produce aesthetic response — and what distinguishes art from craft, beauty from decoration, expression from noise.",Phenomenology|cognitive science|architecture|filmmaking|generative music|semiotics|Eastern philosophy|game design,v5-phenomenology-and-embodied-experience|v5-cognitive-science-and-perception|||v5-generative-music-and-algorithmic-composition|v5-semiotics-structuralism-and-the-science-of-signs|v5-eastern-philosophy|v5-game-design-ludology-and-interactive-systems,"Phenomenology, cogsci, architecture, film, semiotics",5,"Culture, History & Worldview",research-topics-v5.md,2026-03-29
v5-media-theory-and-philosophy-of-technology,v5,24,Media Theory & Philosophy of Technology,T2,"Tier 2: Philosophical, Symbolic & Cultural Foundations",T2,5,,"McLuhan, Kittler, Stiegler. Media as environment-forming forces. A prerequisite for understanding HCI, computing history, and AI's cultural role.",McLuhan|Kittler|Stiegler|Postman|Mumford,,,"The study of how media technologies reshape perception, cognition, memory, culture, and social organization. Extends semiotics and technology studies by treating media not merely as channels but as environment-forming forces. Useful for understanding computing, interfaces, AI, writing systems, attention, and the historical transformation of knowledge by technical media.


---",Semiotics|anthropology|history of computing|HCI|rhetoric|writing systems|AI|aesthetics,v5-semiotics-structuralism-and-the-science-of-signs|v5-anthropology-cultural-evolution-and-technology-studies|v5-history-of-computing-and-the-personal-computer-revolution|v5-human-computer-interaction-and-interface-design|v5-rhetoric-narrative-theory-and-story-systems|v5-writing-systems-notation-and-symbolic-representation|v5-machine-learning-and-statistical-learning-theory|v5-aesthetics-and-philosophy-of-art,"Semiotics, anthropology, computing history, HCI, AI",5,"Culture, History & Worldview",research-topics-v5.md,2026-03-29
v5-linguistics-and-natural-language-structure,v5,16,Linguistics & Natural Language Structure,T2,"Tier 2: Philosophical, Symbolic & Cultural Foundations",T2,4,,"From phonemes to syntax to semantics. The structural machinery of language — a prerequisite for semiotics, NLP, and formal semantics.",Saussure|Chomsky|Pinker|Lakoff|Fillmore,,,"From phonemes to syntax to semantics. Generative grammar, cognitive linguistics (metaphor theory), construction grammar, and computational linguistics. Bridges the gap between formal language theory (computation) and actual human language (NLP, semiotics, philosophy of language).",NLP|logic|semiotics|cognitive science|information theory|anthropology|writing systems/notation,|v5-logic-formal-semantics-and-model-theory|v5-semiotics-structuralism-and-the-science-of-signs|v5-cognitive-science-and-perception|v5-information-theory|v5-anthropology-cultural-evolution-and-technology-studies|v5-writing-systems-notation-and-symbolic-representation,"NLP, logic, semiotics, cogsci, info theory",4,"Language, Signs & Representation",research-topics-v5.md,2026-03-29
v5-logic-formal-semantics-and-model-theory,v5,18,"Logic, Formal Semantics & Model Theory",T2,"Tier 2: Philosophical, Symbolic & Cultural Foundations",T2,4,,"The mathematics of meaning. Truth conditions, formal inference, modal logic. Connects Tier 2 philosophy to Tier 4 computation.",Tarski|Montague|Hintikka|modal logic,,,"Syntax, semantics, truth conditions, and formal inference. Ties together Greek logic, computation theory, lambda calculus, NLP, and knowledge representation. The mathematics of meaning.",Philosophy of mathematics|category theory|linguistics|AI|philosophy of language|machine learning,v5-philosophy-of-mathematics|v5-category-theory-and-abstract-algebra|v5-linguistics-and-natural-language-structure|v5-machine-learning-and-statistical-learning-theory||v5-machine-learning-and-statistical-learning-theory,"Phil of math, category theory, linguistics, AI",4,"Language, Signs & Representation",research-topics-v5.md,2026-03-29
v5-rhetoric-narrative-theory-and-story-systems,v5,20,"Rhetoric, Narrative Theory & Story Systems",T2,"Tier 2: Philosophical, Symbolic & Cultural Foundations",T2,4,,"Meaning through sequence, conflict, and resolution. From Aristotle's Poetics to interactive narrative and emergent story in games.",Aristotle|Campbell|Propp|Barthes|Marie-Laure Ryan,,,"The structure of narrative across media. From Poetics to monomyth to interactive fiction and emergent narrative in games. How meaning is constructed through sequence, conflict, and resolution — applicable to film, games, architecture (spatial narrative), and AI generation.",Filmmaking|semiotics|game design|architecture|AI|anthropology,|v5-semiotics-structuralism-and-the-science-of-signs|v5-game-design-ludology-and-interactive-systems||v5-machine-learning-and-statistical-learning-theory|v5-anthropology-cultural-evolution-and-technology-studies,"Film, semiotics, game design, architecture, AI",4,"Language, Signs & Representation",research-topics-v5.md,2026-03-29
v5-writing-systems-notation-and-symbolic-representation,v5,19,"Writing Systems, Notation & Symbolic Representation",T2,"Tier 2: Philosophical, Symbolic & Cultural Foundations",T2,4,,"How notation shapes thought. Musical staff, mathematical notation, programming languages, cuneiform. A thesis that format is never neutral.",Schmandt-Besserat|Iverson|Goodman|Cajori|Blackwell,,,"How notation shapes thought: Iverson's ""Notation as a Tool of Thought,"" Leibniz's calculus notation enabling new mathematics, staff notation constraining Western harmony, Laban notation encoding dance, and programming languages as notational systems. From cuneiform accounting tokens to LaTeX to visual programming. The thesis that representational format is not neutral — it determines what can be easily expressed, discovered, and communicated. Connects the vault's parallel notation systems (mathematical, musical, architectural, computational) into a unified inquiry.",Linguistics|semiotics|typography|music theory|computation theory|cognitive science|category theory,v5-linguistics-and-natural-language-structure|v5-semiotics-structuralism-and-the-science-of-signs|v5-typography-and-graphic-design-history|||v5-cognitive-science-and-perception|v5-category-theory-and-abstract-algebra,"Linguistics, semiotics, typography, music, computation",4,"Language, Signs & Representation",research-topics-v5.md,2026-03-29
v5-history-of-computing-and-the-personal-computer-revolution,v5,25,History of Computing & The Personal Computer Revolution,T2,"Tier 2: Philosophical, Symbolic & Cultural Foundations",T2,5,,"Babbage to Xerox PARC to the iPhone. Not just history — context for interfaces, programming languages, software architecture, and the cultural formation of digital thought.",Babbage|Lovelace|Turing|Engelbart|Kay|Noyce|Jobs|Wozniak,,,"A historical bridge from abstract computation to personal, networked, and interactive computing. Traces the arc from early mechanical calculation and wartime codebreaking to Bell Labs, Xerox PARC, the Homebrew Computer Club, GUI systems, and the emergence of personal and ubiquitous computing. Valuable not just as history, but as context for interfaces, software architecture, programming languages, media theory, and the cultural formation of digital thought.


---

---",HCI|media theory|programming languages|distributed systems|AI|anthropology|philosophy of technology|design,v5-human-computer-interaction-and-interface-design|v5-media-theory-and-philosophy-of-technology|||v5-machine-learning-and-statistical-learning-theory|v5-anthropology-cultural-evolution-and-technology-studies|v5-media-theory-and-philosophy-of-technology|,"HCI, media theory, PLT, distributed systems, AI",5,"Culture, History & Worldview",research-topics-v5.md,2026-03-29
v5-generative-music-and-algorithmic-composition,v5,47,Generative Music & Algorithmic Composition,T3,"Tier 3: Design, Representation & Interactive Form",T3,9,,"Stochastic music, Markov chains, procedural audio, AI music generation. The synthesis of everything: music theory + DSP + probability + algorithms + aesthetics.",Xenakis|Eno|Cope|Dean McClure,,,"Explicit synthesis of music theory, software synthesis, algorithmic art, probability, and genetic algorithms. Stochastic music, generative systems, Markov chains, procedural audio, and AI music generation. Where mathematics becomes melody and code becomes composition.",DSP|psychoacoustics|complex systems|AI|software architecture|game design,||v5-complex-systems-and-chaos-theory|v5-machine-learning-and-statistical-learning-theory||v5-game-design-ludology-and-interactive-systems,"DSP, psychoacoustics, complex systems, AI, games",9,"Signal, Sound & Simulation",research-topics-v5.md,2026-03-29
v5-typography-and-graphic-design-history,v5,28,Typography & Graphic Design History,T3,"Tier 3: Design, Representation & Interactive Form",T3,6,,"Where language, mathematics, and visual design meet. From Gutenberg to variable fonts. Study alongside or just after HCI.",Gutenberg|Bodoni|Tschichold|Bringhurst|Coles,,,"Where language, mathematics, and visual design meet. Shaping thought through written form, rhythm, hierarchy, and legibility. Bauhaus connections to architecture. From metal type through Swiss Style to variable fonts and algorithmic typography.",Architecture|semiotics|HCI|algorithmic art|cognitive science|writing systems/notation,|v5-semiotics-structuralism-and-the-science-of-signs|v5-human-computer-interaction-and-interface-design||v5-cognitive-science-and-perception|v5-writing-systems-notation-and-symbolic-representation,"Architecture, semiotics, HCI, algorithmic art, cogsci",6,Design & Making,research-topics-v5.md,2026-03-29
v5-photography-and-optics,v5,31,Photography & Optics,T3,"Tier 3: Design, Representation & Interactive Form",T3,6,,"From camera obscura to computational photography. Composition, optics, and the philosophy of the still image.",Alhazen|Kepler|Talbot|Fox Talbot|Cartier-Bresson,,,"From camera obscura to computational photography. Composition theory, the ""decisive moment,"" optics, light physics, and the philosophy of the frozen image. Deepens the visual side beyond filmmaking.",Filmmaking|DSP (image processing)|phenomenology|computer graphics,||v5-phenomenology-and-embodied-experience|v5-computer-graphics-and-computational-imaging,"Film, DSP, phenomenology, computer graphics",6,Design & Making,research-topics-v5.md,2026-03-29
